<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBS,20150325,3.0000,3.1000,2.8000,2.8000,523410,3.0000,3.1000,2.8000,2.8000,0,0,0
SBS,20150324,3.1000,3.1000,2.9000,3.0000,363400,3.1000,3.1000,2.9000,3.0000,0,0,0
SBS,20150323,3.3000,3.3000,3.1000,3.1000,303010,3.3000,3.3000,3.1000,3.1000,0,0,0
SBS,20150320,3.2000,3.3000,3.2000,3.3000,123100,3.2000,3.3000,3.2000,3.3000,0,0,0
SBS,20150319,3.3000,3.3000,3.1000,3.2000,232300,3.3000,3.3000,3.1000,3.2000,0,0,0
SBS,20150318,3.2000,3.3000,3.1000,3.3000,309200,3.2000,3.3000,3.1000,3.3000,0,0,0
SBS,20150317,3.3000,3.3000,3.2000,3.2000,167450,3.3000,3.3000,3.2000,3.2000,0,0,0
SBS,20150316,3.4000,3.4000,3.2000,3.3000,371930,3.4000,3.4000,3.2000,3.3000,0,0,0
SBS,20150313,3.4000,3.4000,3.3000,3.4000,80100,3.4000,3.4000,3.3000,3.4000,0,0,0
SBS,20150312,3.5000,3.5000,3.3000,3.4000,72300,3.5000,3.5000,3.3000,3.4000,0,0,0
SBS,20150311,3.5000,3.5000,3.3000,3.5000,255906,3.5000,3.5000,3.3000,3.5000,0,0,0
SBS,20150310,3.4000,3.5000,3.3000,3.5000,467920,3.4000,3.5000,3.3000,3.5000,0,0,0
SBS,20150309,3.4000,3.5000,3.3000,3.4000,359160,3.4000,3.5000,3.3000,3.4000,0,0,0
SBS,20150306,3.5000,3.5000,3.4000,3.4000,335400,3.5000,3.5000,3.4000,3.4000,0,0,0
SBS,20150305,3.5000,3.6000,3.4000,3.6000,1393900,3.5000,3.6000,3.4000,3.6000,0,0,0
SBS,20150304,3.5000,3.5000,3.4000,3.5000,311600,3.5000,3.5000,3.4000,3.5000,0,0,0
SBS,20150303,3.5000,3.6000,3.3000,3.5000,840650,3.5000,3.6000,3.3000,3.5000,100000,0,0
SBS,20150302,3.6000,3.6000,3.4000,3.4000,440700,3.6000,3.6000,3.4000,3.4000,0,0,0
SBS,20150227,3.6000,3.6000,3.5000,3.5000,338400,3.6000,3.6000,3.5000,3.5000,0,0,0
SBS,20150226,3.5000,3.7000,3.4000,3.5000,86500,3.5000,3.7000,3.4000,3.5000,50000,0,0
SBS,20150225,3.6000,3.7000,3.4000,3.4000,380900,3.6000,3.7000,3.4000,3.4000,0,0,0
SBS,20150224,3.5000,3.6000,3.5000,3.5000,308352,3.5000,3.6000,3.5000,3.5000,0,0,0
SBS,20150213,3.5000,3.6000,3.4000,3.6000,851000,3.5000,3.6000,3.4000,3.6000,0,0,0
SBS,20150212,3.5000,3.6000,3.4000,3.5000,93020,3.5000,3.6000,3.4000,3.5000,80000,5000,0
SBS,20150211,3.4000,3.6000,3.3000,3.5000,82000,3.4000,3.6000,3.3000,3.5000,100000,0,0
SBS,20150210,3.4000,3.4000,3.2000,3.4000,395000,3.4000,3.4000,3.2000,3.4000,0,0,0
SBS,20150209,3.4000,3.6000,3.3000,3.4000,46306,3.4000,3.6000,3.3000,3.4000,100000,0,0
SBS,20150206,3.4000,3.6000,3.3000,3.5000,69200,3.4000,3.6000,3.3000,3.5000,50000,0,0
SBS,20150205,3.4000,3.7000,3.3000,3.4000,37920,3.4000,3.7000,3.3000,3.4000,100000,0,0
SBS,20150204,3.5000,3.7000,3.3000,3.4000,159300,3.5000,3.7000,3.3000,3.4000,100000,0,0
SBS,20150203,3.3000,3.6000,3.3000,3.3000,365000,3.3000,3.6000,3.3000,3.3000,300000,0,0
SBS,20150202,3.5000,3.8000,3.3000,3.3000,384800,3.5000,3.8000,3.3000,3.3000,200000,0,0
SBS,20150130,3.5000,3.5000,3.4000,3.5000,198600,3.5000,3.5000,3.4000,3.5000,0,0,0
SBS,20150129,3.6000,3.6000,3.5000,3.6000,208350,3.6000,3.6000,3.5000,3.6000,0,0,0
SBS,20150128,3.7000,3.7000,3.6000,3.6000,485441,3.7000,3.7000,3.6000,3.6000,0,0,0
SBS,20150127,3.8000,4.1000,3.6000,3.7000,313700,3.8000,4.1000,3.6000,3.7000,100000,0,0
SBS,20150126,3.8000,4.1000,3.8000,3.9000,172010,3.8000,4.1000,3.8000,3.9000,300000,0,0
SBS,20150123,3.8000,3.9000,3.8000,3.8000,151800,3.8000,3.9000,3.8000,3.8000,0,0,0
SBS,20150122,3.9000,4.1000,3.7000,3.7000,353420,3.9000,4.1000,3.7000,3.7000,200000,0,0
